Measurement label:,Left,
Configuration date:,2018. 8. 2. 오후 1:54:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-0.239501953,0.469423828,9.886640625
-0.258662109,0.536484375,9.762099609
-0.201181641,0.464633789,9.742939453
-0.20597168,0.541274414,9.853110352
-0.239501953,0.474213867,9.833950195
-0.215551758,0.421523438,9.766889648
-0.196391602,0.450263672,9.795629883
-0.258662109,0.469423828,9.805209961
-0.277822266,0.498164063,9.867480469
-0.215551758,0.51253418,9.81
-0.296982422,0.498164063,9.920170898
-0.25387207,0.507744141,9.872270508
-0.158071289,0.469423828,9.896220703
-0.172441406,0.431103516,9.790839844
-0.201181641,0.450263672,9.886640625
-0.201181641,0.464633789,9.819580078
-0.244291992,0.474213867,9.901010742
-0.196391602,0.464633789,9.86269043
-0.177231445,0.507744141,9.824370117
-0.244291992,0.45984375,9.829160156
-0.225131836,0.479003906,9.829160156
-0.239501953,0.455053711,9.881850586
-0.229921875,0.378413086,9.877060547
-0.210761719,0.522114258,9.920170898
-0.210761719,0.502954102,9.800419922
-0.215551758,0.498164063,9.786049805
-0.20597168,0.483793945,9.915380859
-0.3065625,0.445473633,9.896220703
-0.239501953,0.464633789,9.795629883
-0.20597168,0.541274414,9.829160156
-0.263452148,0.469423828,9.690249023
-0.172441406,0.464633789,9.848320313
-0.25387207,0.464633789,9.723779297
-0.215551758,0.483793945,9.637558594
-0.225131836,0.474213867,9.647138672
-0.196391602,0.440683594,9.786049805
-0.292192383,0.541274414,9.886640625
-0.234711914,0.387993164,9.704619141
-0.182021484,0.320932617,9.977651367
-0.201181641,0.301772461,9.944121094
-0.215551758,0.56043457,9.766889648
-0.186811523,0.526904297,9.771679688
-0.167651367,0.411943359,9.752519531
-0.249082031,0.364042969,9.838740234
-0.215551758,0.517324219,9.968071289
-0.287402344,0.536484375,9.814790039
-0.287402344,0.507744141,9.805209961
-0.25387207,0.479003906,9.853110352
-0.191601563,0.483793945,9.915380859
-0.244291992,0.455053711,9.838740234
-0.229921875,0.416733398,9.886640625
-0.158071289,0.440683594,9.872270508
-0.244291992,0.498164063,9.833950195
-0.268242188,0.493374023,9.948911133
-0.258662109,0.469423828,9.886640625
-0.244291992,0.469423828,9.762099609
-0.191601563,0.464633789,9.814790039
-0.25387207,0.464633789,9.867480469
-0.225131836,0.45984375,9.829160156
-0.210761719,0.455053711,9.833950195
-0.167651367,0.498164063,9.843530273
-0.225131836,0.469423828,9.857900391
-0.273032227,0.507744141,9.853110352
